"ID","lon","lat","depth","study","BIO","MAT","RAD","MAP","DRY","PET","PH","CEC","BLD","ORC","CLY","SLT","SND","AWC","CWC","NPP"
"1713.McG.L2N02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L1K02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L1M02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L2M02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L1N210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L1B210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L3K210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L3M02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L3B02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L3N210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L1K210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L2K02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L1N02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L2N210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1714.McG.PB02",102.313,2.982,0.01,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,14.5,1125.5,55.5,32.5,23,44,55.5861257694631,0.259385091276017,868.5
"1714.McG.PC210",102.313,2.982,0.06,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,13.5,1193,57,32.5,23,44.5,53.7822774830324,0.250387063827027,868.5
"1714.McG.LA210",102.313,2.982,0.06,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,13.5,1193,57,32.5,23,44.5,53.7822774830324,0.250387063827027,868.5
"1714.McG.LA02",102.313,2.982,0.01,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,14.5,1125.5,55.5,32.5,23,44,55.5861257694631,0.259385091276017,868.5
