ID,D_2,D_1,D0,D1,D2,R1,R2,R3,A1,A2,A3,lon,lat,depth,study,BIO,MAT,RAD,MAP,DRY,PET,PH,CEC,BLD,ORC,CLY,SLT,SND,AWC,CWC,NPP
10360.BAQ2420.3,1269.34965578831,678.733948169506,297.59,143.818332812428,89.2909996578684,104.31,221.19,279.73,193.28,76.4,17.86,-68.3532,-22.91801,0.02,EMP,10,13.6716661453247,21835,15.8266668319702,446.645161290323,4.03462258342589,8.5,28,1262,11,24.5,21,54,50.5346057095181,0.0002019314482318,63.6
10360.BAQ2420.2,1464.21501191384,820.920644584279,348.1,141.174657211503,78.4410313978604,138.06,259.67,325.68,210.04,88.43,22.42,-68.3532,-22.91801,0.02,EMP,10,13.6716661453247,21835,15.8266668319702,446.645161290323,4.03462258342589,8.5,28,1262,11,24.5,21,54,50.5346057095181,0.0002019314482318,63.6
10360.BAQ4166.1.2,2887.77611893229,1968.10905891896,933.27,268.900960669612,102.800226660232,293.51,595.51,846.83,639.76,337.76,86.44,-67.86743,-22.92925,0.02,EMP,10,6.13541603088379,20805.5833333333,44.6976928710938,129.132075471698,2.17432305540846,7.5,10,1261,14.5,16.5,25,59,50.443496330979,0.0828528852099088,92.7
10360.BAQ2838.2,2117.00608129536,1348.75908556985,646.35,236.956984737909,106.784232946294,348.56,526.54,618.11,297.79,119.81,28.24,-68.57623,-22.65381,0.02,EMP,13,11.216667175293,21678.5,14.6051273345947,477.379310344828,3.42507755432853,8.7,21,1322,10.5,18,23,59.5,48.5632087571561,0.000288967745064987,69.5
10360.BAQ2838.3,1422.75467057941,791.003399611992,354.39,144.64151959524,60.6733139543114,149.28,251.01,329.74,205.11,103.38,24.65,-68.57623,-22.65381,0.02,EMP,13,11.216667175293,21678.5,14.6051273345947,477.379310344828,3.42507755432853,8.7,21,1322,10.5,18,23,59.5,48.5632087571561,0.000288967745064987,69.5
10360.BAQ4697.1,2115.06052819629,1241.25917898347,391.25,42.0039307720587,12.1667555736018,122.24,243.59,343.14,269.01,147.66,48.11,-67.68925,-22.95144,0.02,EMP,10,1.98574984073639,20145.5,60.0425682067871,89.2565789473684,1.19936995121518,7.5,18,1123.5,18,20,28,52,54.3955491082793,0.183481852553525,68.6
10360.BAQ4697.3,2158.64759556966,1277.12133251075,419.57,49.0520256284849,12.6779028110746,139.15,272.13,377.17,280.42,147.44,42.4,-67.68925,-22.95144,0.02,EMP,10,1.98574984073639,20145.5,60.0425682067871,89.2565789473684,1.19936995121518,7.5,18,1123.5,18,20,28,52,54.3955491082793,0.183481852553525,68.6
10360.BAQ4697.2,2195.77588914715,1309.87233455332,435.69,52.2158495264566,13.1289107785892,138.42,271.96,385.51,297.27,163.73,50.18,-67.68925,-22.95144,0.02,EMP,10,1.98574984073639,20145.5,60.0425682067871,89.2565789473684,1.19936995121518,7.5,18,1123.5,18,20,28,52,54.3955491082793,0.183481852553525,68.6
10360.YUN3533.3,2903.96353888839,1993.54312437134,958.2,251.46479922948,72.9995605207075,363.56,662.27,876.18,594.64,295.93,82.02,-68.36079,-24.37951,0.02,EMP,10,9.04816627502441,21200.8333333333,21.5623073577881,199.797101449275,2.87482634534381,8.2,11,1222,18.5,14,26,60,51.5929058121417,0.0278331918670435,55.6
10360.YUN3533.2,2621.8507910182,1700.45070287124,675.28,40.7050643996804,5.01407867813849,222.33,447.08,604.72,452.95,228.2,70.56,-68.36079,-24.37951,0.02,EMP,10,9.04816627502441,21200.8333333333,21.5623073577881,199.797101449275,2.87482634534381,8.2,11,1222,18.5,14,26,60,51.5929058121417,0.0278331918670435,55.6
10360.BAQ2687.1,2919.46095572429,2002.87267010831,964.51,286.445661268692,113.457860242011,331.28,626.02,875.47,633.23,338.49,89.04,-68.05283,-22.91819,0.02,EMP,10,12.7373342514038,21540,24.4938488006592,281.836734693878,3.76781911322647,8.3,12,1310,7.5,13,18.5,68.5,48.3373698229286,0.00298589683250267,90.1
10360.BAQ2687.2,1275.03728188467,653.978712902229,212.56,58.3535475707278,31.008644649525,90.61,165.21,201.47,121.95,47.35,11.09,-68.05283,-22.91819,0.02,EMP,10,12.7373342514038,21540,24.4938488006592,281.836734693878,3.76781911322647,8.3,12,1310,7.5,13,18.5,68.5,48.3373698229286,0.00298589683250267,90.1
10360.BAQ2687.3,2286.1642442892,1427.18661358171,594.85,179.312458592105,82.5822732520809,273.57,462.79,555.71,321.28,132.06,39.14,-68.05283,-22.91819,0.02,EMP,10,12.7373342514038,21540,24.4938488006592,281.836734693878,3.76781911322647,8.3,12,1310,7.5,13,18.5,68.5,48.3373698229286,0.00298589683250267,90.1
10360.YUN3856.1.2,2526.27345832138,1629.08012513564,680.08,97.9064706220829,14.3173867413126,240.66,456.4,617.12,439.42,223.68,62.96,-68.29649,-24.44621,0.02,EMP,10,5.92933416366577,21044.0833333333,31.707691192627,151,2.15692248888045,7.8,17,1164,21.5,16,29,55,53.3861193191543,0.0787941657217835,53.9
10360.YUN3856.1.3,2095.9828756537,1245.89002908296,458.79,128.676168490012,60.1188433555228,174.22,319.48,419.08,284.57,139.31,39.71,-68.29649,-24.44621,0.02,EMP,10,5.92933416366577,21044.0833333333,31.707691192627,151,2.15692248888045,7.8,17,1164,21.5,16,29,55,53.3861193191543,0.0787941657217835,53.9
10360.BAQ4166.1.1,3010.35285154181,2087.78637498676,1019.8,317.738563133814,137.296404354895,372.01,660.69,924.05,647.79,359.11,95.75,-67.86743,-22.92925,0.02,EMP,10,6.13541603088379,20805.5833333333,44.6976928710938,129.132075471698,2.17432305540846,7.5,10,1261,14.5,16.5,25,59,50.443496330979,0.0828528852099088,92.7
10360.YUN3856.1.1,2925.69995991489,2008.5028641972,973.4,279.931264724081,75.4281319235099,492.77,747.58,907.35,480.63,225.82,66.05,-68.29649,-24.44621,0.02,EMP,10,5.92933416366577,21044.0833333333,31.707691192627,151,2.15692248888045,7.8,17,1164,21.5,16,29,55,53.3861193191543,0.0787941657217835,53.9
